,Title,Author,Date,Thematic
0,Quel avenir pour les tarifs régulés de vente d’électricité ?,                      Stefan Ambec   &       Claude Crampes                ,27 Novembre 2024,Energie
1,IA: techno-pessimisme ou techno-optimisme?,                      Frédéric Cherbonnier                ,26 Novembre 2024,Science
2,TSE MAG 27 – L'IA va-t-elle guérir le monde ?,                      Pierre Dubois                ,22 Novembre 2024,Santé
3,TSE MAG 27 – Un jeu de vie et de mort,,22 Novembre 2024,Santé
4,TSE MAG 27 – Tisser des liens,                      Marion Hoffman                ,22 Novembre 2024,Santé
5,TSE MAG 27 – La technologie nous déprime-t-elle ?,                      Manvir Singh                ,20 Novembre 2024,Santé
6,TSE MAG 27 – Le bonheur est-il genré ?,                      Olympia Campbell                ,20 Novembre 2024,Santé
7,TSE MAG 27 – Accès au soin,                      Angélique Acquatella                ,20 Novembre 2024,Santé
8,TSE MAG 27 – Vision 3V,                      Marion Desquilbet                ,19 Novembre 2024,Santé
9,TSE MAG 27 – Malbouffe toxique,                      Céline Bonnet   &       Catarina Goulão                ,19 Novembre 2024,Santé
