Title,Author,Date,Thematic
Quel avenir pour les tarifs régulés de vente d’électricité ?,                      Stefan Ambec   &       Claude Crampes                ,27 Novembre 2024,Energie
IA: techno-pessimisme ou techno-optimisme?,                      Frédéric Cherbonnier                ,26 Novembre 2024,Science
TSE MAG 27 – L'IA va-t-elle guérir le monde ?,                      Pierre Dubois                ,22 Novembre 2024,Santé
TSE MAG 27 – Un jeu de vie et de mort,,22 Novembre 2024,Santé
TSE MAG 27 – Tisser des liens,                      Marion Hoffman                ,22 Novembre 2024,Santé
TSE MAG 27 – La technologie nous déprime-t-elle ?,                      Manvir Singh                ,20 Novembre 2024,Santé
TSE MAG 27 – Le bonheur est-il genré ?,                      Olympia Campbell                ,20 Novembre 2024,Santé
TSE MAG 27 – Accès au soin,                      Angélique Acquatella                ,20 Novembre 2024,Santé
TSE MAG 27 – Vision 3V,                      Marion Desquilbet                ,19 Novembre 2024,Santé
TSE MAG 27 – Malbouffe toxique,                      Céline Bonnet   &       Catarina Goulão                ,19 Novembre 2024,Santé
TSE MAG 27 - La vie moderne est-elle néfaste?,                      Jonathan Stieglitz                ,19 Novembre 2024,Santé
TSE MAG 27 - L'économie est bonne pour vous,                      Jean Tirole                ,19 Novembre 2024,Santé
Santé : du courage politique pour une réforme de fond,                      Frédéric Cherbonnier                ,17 Octobre 2024,Histoire
Pesticides : l’Anses doit s’appuyer sur toutes les données scientifiques non biaisées par des conflits d’intérêts,                      Marion Desquilbet                ,3 Octobre 2024,Santé
Coopération européenne pour la mise au point de petits réacteurs modulaires,                      Claude Crampes   &       Gilles Lafforgue                ,27 Septembre 2024,Energie
Lutte contre la pauvreté: où est la gauche?,                      Frédéric Cherbonnier                ,17 Septembre 2024,Public policy
Sommet du Bien Commun - Santé : l'espoir de l'IA,                      Pierre Dubois                ,8 Juillet 2024,Santé
Sommet du Bien Commun - Mettre fin à la pauvreté sur une planète vivable,                      Stéphane Straub                ,8 Juillet 2024,Développement
Sommet du Bien Commun - Mobilité : peut-on s’en remettre aux énergies renouvelables?,                      Marc Ivaldi                ,8 Juillet 2024,Transport
Sommet du Bien Commun - Transition juste : repenser le sens de notre existence,                      Ingela Alger                ,8 Juillet 2024,Climat
Sommet du Bien Commun - Finance verte : donner les bons signaux et réduire l’incertitude,                      Ulrich Hege                ,8 Juillet 2024,Climat
Sommet du Bien Commun - Le progrès du génie humain,                      Sylvain Chabé-Ferret                ,8 Juillet 2024,Climat
Lever le tabou de l'impôt,                      Frédéric Cherbonnier                ,28 Juin 2024,Public policy
Le temps d’une paix en Ukraine,                      Marcel Boyer                ,18 Juin 2024,Europe
Ukraine : Un projet de paix,                      Marcel Boyer                ,17 Juin 2024,Economie politique
"Assurance-chômage, une stigmatisation excessive",                      Frédéric Cherbonnier                ,23 Mai 2024,Labour
The Divine Marketplace Is Pretty Crowded,                      Paul Seabright                ,16 Mai 2024,History
Du bon usage des pénalités pour infraction aux règles de concurrence dans le secteur de l’énergie,                      Stefan Ambec   &       Claude Crampes                ,14 Mai 2024,Energie
La fatigue climatique fait le jeu du Rassemblement national,                      Christian Gollier                ,2 Mai 2024,Europe
TSE MAG 26 - Comment lutter contre le changement climatique,                      Christian Gollier   &       Jean-Marc Jancovici                ,22 Avril 2024,Environnement
TSE MAG 26 - Croissance de l'empathie,                      Ingela Alger                ,22 Avril 2024,Environnement
TSE MAG 26 - Comment utiliser notre budget carbone,                      Stefan Ambec   &       Claude Crampes                ,22 Avril 2024,Environnement
TSE MAG 26 - Le repas du futur,                      Zohra Bouamra-Mechemache   &       Vincent Réquillart                ,22 Avril 2024,Environnement
TSE MAG 26 - Cantines végés? Passer au vert,                      Nicolas Treich                ,22 Avril 2024,Histoire
TSE MAG 26 - Peut-on voyager sans polluer?,                      Isis Durrmeyer   &       Mathias Reynaert                ,22 Avril 2024,Environnement
TSE MAG 26 - La poule ou l’œuf?,,22 Avril 2024,Environnement
TSE MAG 26 - Paré au décollage,                      Estelle Malavolti                ,22 Avril 2024,Environnement
TSE MAG 26 - Qui se soucie de la Terre ?,                      Céline Nauges                ,22 Avril 2024,Environnement
TSE MAG 26 - Aller plus loin,                      Sylvain Chabé-Ferret                ,22 Avril 2024,Environnement
TSE MAG 26 - Prêts pour la montée des eaux?,                      Lilian Rebai                ,22 Avril 2024,Environnement
TSE MAG 26 - S'adapter ou fuir,                      Anouch Missirian                ,22 Avril 2024,Environnement
TSE MAG 26 - Pourquoi réagir ?,                      Jordanna Matlon                ,22 Avril 2024,Environnement
TSE MAG 26 - Les mythes de la polarisation,                      Marijn Keijzer                ,22 Avril 2024,Environnement
"Les communautés d'énergie, un outil pour lutter contre le dérèglement climatique",                      Stefan Ambec   &       Claude Crampes                ,19 Avril 2024,Energie
Transition écologique : un discours lénifiant,                      Frédéric Cherbonnier                ,10 Avril 2024,Histoire
La France et le marché européen de l’électricité,                      Stefan Ambec   &       Claude Crampes                ,13 Mars 2024,Energie
Mieux d'impôts,                      Frédéric Cherbonnier                ,8 Mars 2024,Taxation
Bureaucratie française : quand la norme ne sera plus la norme…,                      Jean Tirole                ,5 Mars 2024,Politiques publiques
Les Etats membres de l’Union européenne protègent des terres en réalité peu menacées par le développement économique,                      Mathias Reynaert                ,3 Mars 2024,Europe
An evaluation of protected area policies in the EU,                      Prakash Mishra   &       Mathias Reynaert   &       Arthur van Benthem                ,22 Février 2024,Environment
Les institutions démocratiques face au peuple souverain,                      Jean Tirole                ,15 Février 2024,Histoire
